Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Fungi,compartment_fungus,dead_tissue,mycorrhizas,other,roots,percent_col,Batch,Fungus_attempted,attempted,Plantside,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,mycologN15,nmlogN15,competition_treatment,forced.uncolonized.N15ppmexcess,forced.mycorrhizas.N15ppmexcess,forced.mycoC13forN15,forced.nmC13forN15,uncolN15ppmexcess
6001,a,Sp,NA,0.013556463073283842,0.0035846360617450834,NA,37.9,41.2,NA,0.0011276884351851257,-3.831755992851349e-4,NA,1.6,0.9,1,Y,Low,N,Sp/None,SUIPU,0.00312,0.00774,NA,0.02099,26.94048033414549,FC04,Sp,Sp/None,6001 A,0,135.56463073283842,35.846360617450834,11.276884351851258,-3.831755992851349,4.9094485061793,3.5792420449454574,3.4209120308069045,2.740108636674128,0,NA,NA,NA,NA,-3.831755992851349
6002,b,Sp,NA,0.02015193620421818,NA,NA,41.6,NA,NA,0.0010656490267668128,NA,NA,2.8,NA,1,Y,High,N,MIXED/SUIPU,MIXED,0.0097,0.0153,NA,NA,100,FC07,Sp,Sp/Sp,6002 B,Sp,201.5193620421818,NA,10.65649026766813,NA,5.305885466309797,NA,3.4004275488436955,NA,0,NA,NA,NA,NA,NA
6002,b,Tt,NA,0.06406634231789377,NA,NA,32.4,NA,NA,-1.822839833354184e-5,NA,NA,2.2,NA,1,Y,High,N,MIXED/SUIPU,MIXED,NA,0.0129,NA,0.060219999999999996,17.64223194748359,FC07,Sp,Sp/Sp,6002 B,Sp,640.6634231789377,NA,-0.1822839833354184,NA,6.462504238173357,NA,2.951683184425256,NA,0,NA,NA,NA,NA,NA
6006,a,Tt,NA,0.04377849347977203,0.025570558363084084,NA,46.5,43.6,NA,0.006601449726569841,0.0010911946748844437,NA,2.6,1.8,1,Y,High,N,Tt/Tt,THETE,NA,0.0131,NA,0.06016,17.881517881517883,FC15,Tt,Tt/Tt,6006 A,0,437.78493479772027,255.70558363084083,66.01449726569841,10.911946748844436,6.081727773344836,5.544026718706519,4.446583759945047,3.408913217360745,0,NA,NA,NA,NA,10.911946748844436
6008,b,Sp,NA,0.004563217428184441,0.003573640655495147,NA,38.3,37.9,NA,1.5329586253060024e-4,-3.3208283020252916e-4,NA,1.1,0.7,1,Y,Low,N,Sp/Sp,SUIPU,NA,4.8e-4,NA,0.03811,1.2438455558434829,FC06,Sp,Sp/Sp,6008 B,0,45.63217428184441,35.73640655495147,1.5329586253060024,-3.3208283020252916,3.820613044074606,3.5761699606067596,3.0375161538150044,2.772563430239352,0,NA,NA,NA,NA,-3.3208283020252916
6010,a,Tt,0.007201992027461301,0.030900672216962022,0.024845178866740314,12,35.1,46.9,0.001339351717721815,0.0035654110835123265,2.335836115021639e-4,1.1,1.9,1.4,1,Y,High,N,Tt/None,THETE,NA,0.01606,NA,0.09852999999999999,14.015184571079503,FC16,Tt,Tt/None,6010 A,0,309.0067221696202,248.45178866740315,35.65411083512326,2.335836115021639,5.733363031255358,5.51524881732772,4.0068700683787615,3.075294546613798,0,NA,NA,NA,NA,2.335836115021639
6011,b,Sp,NA,0.02042672849601357,0.011808515247866636,NA,25.6,46.9,NA,2.919746203876028e-4,-7.225788955825818e-4,NA,0.7,0.6,1,Y,Low,N,Tt/Sp,SUIPU,0.00677,0.00798,NA,0.07516,NA,FC13,Sp,Tt/Sp,6011 B,0,204.2672849601357,118.08515247866636,2.919746203876028,-7.225788955825818,5.319429356647306,4.771405995390222,3.101900105999441,2.492761939332169,0,NA,NA,NA,NA,-7.225788955825818
6012,a,Tt,0.014040160991854789,0.030614948729296376,0.02430663266099531,4.2,39.1,45.3,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,0.3,2.6,1.2,1,Y,High,N,Tt/Sp,THETE,0.0129,0.0927,NA,0.0704,56.83629675045984,FC02,Tt,Tt/Sp,6012 A,0,306.1494872929638,243.06632660995308,66.92673985692844,-2.3719639807545656,5.724073503230299,5.493334355108896,4.457217168322148,2.8301769538492882,0,NA,NA,NA,NA,-2.3719639807545656
6015,b,Tt,0.02018491135985867,0.02596621542156563,0.01641460943040829,15.6,25.8,45.3,0.008316437845406421,0.012242443652185742,0.001587507524355547,1.3,NA,1,1,Y,High,N,Tt/Sp,THETE,NA,0.092,NA,0.10456,46.8050468050468,FC07,None,Sp/None,6015 B,0,259.6621542156563,164.14609430408288,122.42443652185742,15.87507524355547,5.5593813791915245,5.100756850207834,4.954028682035063,3.5609182016631817,0,NA,NA,NA,NA,15.87507524355547
6019,a,Sp,NA,0.0314281573949684,0.009356886849290369,NA,23,45.2,NA,0.014271001976754571,-7.116303660598677e-4,NA,1.3,0.9,1,Y,Low,N,Sp/Sp,SUIPU,0.03587,0.0185,NA,0.020040000000000002,NA,FC13,Sp,Sp/Sp,6019 A,0,314.28157394968406,93.56886849290369,142.7100197675457,-7.116303660598677,5.750289316407859,4.538697726587834,5.087784239815987,2.501773597561361,0,NA,NA,NA,NA,-7.116303660598677
